Base_HR,Base_EDA,HR,EDA,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,EDA_difference,HR_difference,Trust_level
81.3,2.45,78.05,2.92,0.7406418,0.0179046,0.2288832,0.08453108,0.008957082,0.01118508,0.03041498,0.47,-3.25,Gradual_trust
81.3,2.45,77.92,2.8,0.7432644,0.01838923,0.2251558,0.0837115,0.008806266,0.01173188,0.03003391,0.35,-3.38,Gradual_trust
81.3,2.45,77.8,2.76,0.7514718,0.01924058,0.2162821,0.08081235,0.008473019,0.01304826,0.02884123,0.31,-3.5,Gradual_trust
81.3,2.45,77.68,2.77,0.7574291,0.01976321,0.2116111,0.07861691,0.008239266,0.01381151,0.0279619,0.32,-3.62,Gradual_trust
81.3,2.45,77.57,2.75,0.7635952,0.02018566,0.2095568,0.07599025,0.008063205,0.01446901,0.02698103,0.3,-3.73,Gradual_trust
81.3,2.45,77.55,2.7,0.7691243,0.02005595,0.2071997,0.07422187,0.007998322,0.01409895,0.02578367,0.25,-3.75,Gradual_trust
81.3,2.45,77.53,2.66,0.7778706,0.01937283,0.2029694,0.07823353,0.008337785,0.01372575,0.02451112,0.21,-3.77,Gradual_trust
81.3,2.45,77.53,2.71,0.779294,0.01834113,0.2134512,0.07498933,0.00899717,0.01290996,0.02374917,0.26,-3.77,Gradual_trust
81.3,2.45,77.57,2.84,0.7807174,0.01730942,0.223933,0.07174511,0.009656556,0.01209417,0.02298722,0.39,-3.73,Gradual_trust
81.3,2.45,77.63,2.85,0.7767919,0.01563681,0.2596444,0.06700324,0.01078398,0.01047873,0.02170578,0.4,-3.67,Gradual_trust
81.3,2.45,77.57,2.83,0.6981816,0.01340366,0.3234877,0.06112916,0.01031747,0.008715021,0.0195517,0.38,-3.73,Gradual_trust
81.3,2.45,77.53,2.77,0.6746548,0.01277364,0.3464019,0.05920561,0.01023618,0.008167225,0.01896686,0.32,-3.77,Gradual_trust
81.3,2.45,95.88,3.32,0.6332288,0.0116169,0.3891204,0.05509269,0.01009338,0.007136779,0.01791645,0.87,14.58,Gradual_trust
81.3,2.45,96.78,3.28,0.5989802,0.0106659,0.4271206,0.05032936,0.009969978,0.006254597,0.01713398,0.83,15.48,Gradual_trust
81.3,2.45,97.68,3.27,0.5765632,0.0100305,0.4546589,0.04660956,0.009885164,0.005633319,0.01662664,0.82,16.38,Gradual_trust
81.3,2.45,98.37,3.35,0.5522779,0.009314821,0.4812865,0.04198655,0.0096784,0.004962724,0.01621509,0.9,17.07,Gradual_trust
81.3,2.45,99,3.39,0.5225996,0.008057036,0.5035365,0.0342794,0.009160514,0.003940343,0.01652276,0.94,17.7,Gradual_trust
81.3,2.45,99.65,3.49,0.5142283,0.007362955,0.5028656,0.03219665,0.008821995,0.003470435,0.01858958,1.04,18.35,Gradual_trust
81.3,2.45,100.43,2.86,0.5079254,0.006665696,0.4989828,0.03134452,0.008451924,0.003032071,0.02173221,0.41,19.13,Gradual_trust
81.3,2.45,101.2,2.79,0.5014208,0.00628733,0.5059265,0.03150903,0.008285942,0.002783587,0.02309598,0.34,19.9,Gradual_trust
81.3,2.45,101.62,3.16,0.4949162,0.005908963,0.5128701,0.03167353,0.008119959,0.002535101,0.02445976,0.71,20.32,Gradual_trust
81.3,2.45,101.98,3.51,0.4804468,0.005212123,0.5371369,0.03279845,0.007804596,0.002050194,0.02609797,1.06,20.68,Gradual_trust
81.3,2.45,102.47,4.06,0.4727784,0.004867856,0.558032,0.03445118,0.007470163,0.001786158,0.02713701,1.61,21.17,Gradual_trust
81.3,2.45,102.62,4.17,0.465891,0.004505361,0.5929209,0.03729326,0.006688503,0.001453993,0.02825601,1.72,21.32,Gradual_trust
81.3,2.45,102.78,3.94,0.4639741,0.004369844,0.613556,0.03933925,0.006063681,0.001274366,0.02923382,1.49,21.48,Gradual_trust
81.3,2.45,103,3.79,0.4640749,0.00432618,0.6231318,0.04040302,0.005774312,0.001198572,0.029757,1.34,21.7,Gradual_trust
81.3,2.45,103.18,3.76,0.4596798,0.004265414,0.6479195,0.04296684,0.004973604,0.001039295,0.03119277,1.31,21.88,Gradual_trust
81.3,2.45,103.35,3.62,0.4570733,0.004239393,0.6568173,0.0439089,0.004685464,0.000984193,0.03166173,1.17,22.05,Gradual_trust
81.3,2.45,103.2,3.69,0.4450369,0.004115789,0.6806233,0.04960014,0.00385615,0.000841371,0.03290473,1.24,21.9,Gradual_trust
81.3,2.45,103.07,3.72,0.4364225,0.004083553,0.7020673,0.05228006,0.003348684,0.00076553,0.03357647,1.27,21.77,Gradual_trust
81.3,2.45,102.92,3.59,0.4365042,0.0044307,0.6766408,0.05286748,0.003560444,0.000864602,0.03126017,1.14,21.62,Gradual_trust
81.3,2.45,102.78,3.41,0.4571557,0.004853257,0.6461358,0.05272384,0.003939887,0.001080157,0.03042686,0.96,21.48,Gradual_trust
81.3,2.45,102.6,3.53,0.4778073,0.005275814,0.6156308,0.0525802,0.004319331,0.001295713,0.02959355,1.08,21.3,Gradual_trust
81.3,2.45,102.38,3.56,0.5376014,0.006681428,0.5229415,0.04940578,0.005688699,0.002271477,0.0268214,1.11,21.08,Gradual_trust
81.3,2.45,102.17,3.61,0.5762383,0.007336856,0.4661309,0.0461398,0.006437274,0.002979402,0.02483955,1.16,20.87,Gradual_trust
81.3,2.45,101.92,3.41,0.6134452,0.008108106,0.4176446,0.04262413,0.007047615,0.003302324,0.02284215,0.96,20.62,Gradual_trust
81.3,2.45,101.68,3.39,0.6542183,0.009868836,0.3695524,0.03912158,0.007581426,0.004190125,0.02090674,0.94,20.38,Gradual_trust
81.3,2.45,101.43,3.33,0.6949914,0.01162956,0.3214602,0.03561903,0.008115237,0.005077924,0.01897133,0.88,20.13,Gradual_trust
81.3,2.45,101.15,3.76,0.730927,0.01235144,0.2808613,0.03243304,0.008443424,0.005132806,0.01722715,1.31,19.85,Gradual_trust
81.3,2.45,100.75,4.19,0.7514461,0.01229176,0.2594535,0.03027367,0.008607008,0.004856231,0.01614731,1.74,19.45,Gradual_trust
81.3,2.45,100.28,4.71,0.764254,0.01186611,0.2469151,0.02840088,0.008803087,0.004442131,0.01557277,2.26,18.98,Gradual_trust
81.3,2.45,99.83,4.56,0.7695242,0.01122371,0.2451417,0.02689449,0.008968337,0.003972359,0.01499603,2.11,18.53,Gradual_trust
81.3,2.45,99.33,3.77,0.7682639,0.01050404,0.2524466,0.02576242,0.009184889,0.003511104,0.01433603,1.32,18.03,Gradual_trust
81.3,2.45,98.85,3.64,0.7652281,0.009806061,0.2616515,0.02505555,0.00941806,0.003096512,0.01478167,1.19,17.55,Gradual_trust
81.3,2.45,98.45,3.47,0.7613376,0.009309785,0.272313,0.02519463,0.009544424,0.00282144,0.01633441,1.02,17.15,Gradual_trust
81.3,2.45,98.28,3.56,0.7547777,0.008631677,0.292184,0.0268015,0.009796038,0.002483112,0.01822464,1.11,16.98,Gradual_trust
81.3,2.45,98.12,3.49,0.7558847,0.007382283,0.3150173,0.03555672,0.01066718,0.001931871,0.02332911,1.04,16.82,Gradual_trust
81.3,2.45,97.93,3.63,0.758204,0.006886051,0.3273607,0.04032806,0.0106026,0.001722563,0.02686912,1.18,16.63,Gradual_trust
81.3,2.45,97.77,4.06,0.7621389,0.00662068,0.3354578,0.04637659,0.01015631,0.001550108,0.02972555,1.61,16.47,Gradual_trust
81.3,2.45,97.6,4.41,0.7646695,0.006456156,0.3368449,0.04896563,0.01009449,0.001492425,0.03122402,1.96,16.3,Gradual_trust
81.3,2.45,97.33,4.32,0.7679074,0.005868937,0.3424298,0.05667263,0.009425891,0.001376845,0.03235208,1.87,16.03,Gradual_trust
81.3,2.45,97.08,4.07,0.7728031,0.005478174,0.3402757,0.06493664,0.009051776,0.001416479,0.03268215,1.62,15.78,Gradual_trust
81.3,2.45,71.03,2.1,0.4580132,0.0054203,0.6830764,0.02644365,0.004278419,0.003035281,0.01775676,-0.35,-10.27,Gradual_trust
81.3,2.45,71.32,2.13,0.4564182,0.005117685,0.6653812,0.0296096,0.004022114,0.00274144,0.01683904,-0.32,-9.98,Gradual_trust
81.3,2.45,71.57,2.15,0.4548232,0.004815069,0.6476859,0.03277556,0.003765809,0.002447599,0.01592132,-0.3,-9.73,Gradual_trust
81.3,2.45,71.83,2.13,0.4535336,0.004648008,0.6296133,0.03428351,0.004656383,0.002196693,0.01519142,-0.32,-9.47,Gradual_trust
81.3,2.45,72.15,2.14,0.4557857,0.004608031,0.6100844,0.03481189,0.006201671,0.002087091,0.01470873,-0.31,-9.15,Gradual_trust
81.3,2.45,72.45,2.16,0.5013516,0.004872031,0.5772263,0.03598149,0.007975436,0.0019719,0.01463984,-0.29,-8.85,Gradual_trust
81.3,2.45,72.75,2.16,0.5413818,0.005109502,0.5446041,0.03707995,0.009523856,0.001860813,0.0145117,-0.29,-8.55,Gradual_trust
81.3,2.45,73.05,2.18,0.5764818,0.005399491,0.5151195,0.03736325,0.01115021,0.00188563,0.0144852,-0.27,-8.25,Gradual_trust
81.3,2.45,73.35,2.23,0.6088651,0.005678009,0.4843228,0.03868927,0.01258777,0.001916818,0.01438216,-0.22,-7.95,Gradual_trust
81.3,2.45,73.63,2.24,0.6558648,0.006125948,0.4375464,0.04189035,0.0145724,0.002166612,0.014151,-0.21,-7.67,Gradual_trust
81.3,2.45,73.9,2.2,0.6828431,0.006773159,0.4013391,0.04632565,0.01612451,0.002714962,0.01403775,-0.25,-7.4,Gradual_trust
81.3,2.45,74.2,2.14,0.6572657,0.02502237,0.3921842,0.05699006,0.01947237,0.01191172,0.01592719,-0.31,-7.1,Gradual_trust
81.3,2.45,74.47,2.13,0.6316884,0.04327158,0.3830293,0.06765447,0.02282023,0.02110847,0.01781663,-0.32,-6.83,Gradual_trust
81.3,2.45,74.73,2.13,0.7146855,0.01541387,0.4059957,0.04259889,0.01875304,0.005609177,0.01478489,-0.32,-6.57,Gradual_trust
